Time1,Block1,Sted1,Hast1,Acc1,Time2,Block2,Sted2,Hast2,Acc2,Time3,Block3,Sted3,Hast3,Acc3,Time4,Block4,Sted4,Hast4,Acc4,Time5,Block5,Sted5,Hast5,Acc5,Time6,Block6,Sted6,Hast6,Acc6,Time7,Block7,Sted7,Hast7,Acc7,Time8,Block8,Sted8,Hast8,Acc8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.55,,,,0.52,2.28,,,,0.58,0.62,,,,2.08,0.74,,,,2.43,0.78,,,,3.08,1.88,28.00,0.42,,,1.04,,,,0.80,1.34,,,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.55,28.00,0.42,,,2.28,28.00,0.42,,,0.62,28.00,0.42,,,0.74,28.00,0.42,,,0.78,28.00,0.42,,,1.88,,,,-2.71,1.04,28.00,0.42,,,1.34,28.00,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.56,,,0.67,,2.29,,,0.67,,0.63,,,1.35,,0.75,,,1.37,,0.78,,,1.52,,1.90,,,0.39,,1.05,,,0.75,,1.35,,,0.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.57,,,,0.47,2.30,,,,0.53,0.63,,,,2.26,0.75,29.00,0.44,,,0.79,,,,2.57,1.92,29.00,0.44,,,1.06,,,,0.74,1.36,,,,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.57,29.00,0.44,,,2.30,29.00,0.44,,,0.63,29.00,0.44,,,0.75,,,,-5.52,0.79,29.00,0.44,,,1.92,,,,-2.33,1.06,29.00,0.44,,,1.36,29.00,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.58,,,0.68,,2.31,,,0.68,,0.64,,,1.38,,0.76,,,1.30,,0.79,,,1.54,,1.94,,,0.28,,1.07,,,0.76,,1.37,,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.60,,,,0.50,2.33,,,,0.62,0.64,,,,2.31,0.76,,,,12.79,0.80,,,,3.22,1.97,30.00,0.45,,,1.08,,,,0.77,1.38,,,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.60,30.00,0.45,,,2.33,30.00,0.45,,,0.64,30.00,0.45,,,0.76,30.00,0.45,,,0.80,30.00,0.45,,,1.98,,,,-1.39,1.08,30.00,0.45,,,1.38,30.00,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.61,,,0.69,,2.34,,,0.69,,0.65,,,1.40,,0.77,,,1.44,,0.80,,,1.57,,2.01,,,0.19,,1.09,,,0.78,,1.38,,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.62,,,,0.52,2.35,,,,0.51,0.65,,,,2.02,0.77,31.00,0.46,,,0.81,,,,2.53,2.05,31.00,0.46,,,1.10,,,,0.63,1.39,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.62,31.00,0.46,,,2.35,31.00,0.46,,,0.65,31.00,0.46,,,0.77,,,,-2.92,0.81,31.00,0.46,,,,,,,,1.10,31.00,0.46,,,1.39,31.00,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.63,,,0.70,,2.36,,,0.70,,0.66,,,1.43,,0.78,,,1.41,,0.81,,,1.60,,,,,,,1.11,,,0.79,,1.40,,,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.64,,,,0.56,2.37,,,,0.51,0.66,,,,2.43,0.78,,,,1.35,0.82,,,,2.76,,,,,,1.12,,,,0.75,1.41,,,,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.64,32.00,0.48,,,2.37,32.00,0.48,,,0.66,32.00,0.48,,,0.78,32.00,0.48,,,0.82,32.00,0.48,,,,,,,,1.12,32.00,0.48,,,1.41,32.00,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.65,,,0.71,,2.38,,,0.71,,0.67,,,1.45,,0.79,,,1.43,,0.82,,,1.62,,,,,,,1.13,,,0.81,,1.42,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.66,,,,0.51,2.39,,,,0.50,0.67,,,,2.21,0.79,33.00,0.50,,,0.83,,,,2.54,,,,,,1.14,,,,0.63,1.42,,,,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.66,33.00,0.50,,,2.39,33.00,0.50,,,0.67,33.00,0.50,,,0.80,,,,-30.10,0.83,33.00,0.50,,,,,,,,1.14,33.00,0.50,,,1.42,33.00,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.67,,,0.73,,2.40,,,0.72,,0.68,,,1.47,,0.80,,,1.05,,0.83,,,1.65,,,,,,,1.15,,,0.82,,1.43,,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.68,,,,0.59,2.41,,,,0.49,0.68,,,,2.59,0.81,34.00,0.51,,,0.83,34.00,0.51,,,,,,,,1.16,,,,0.66,1.44,,,,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.68,34.00,0.51,,,2.41,34.00,0.51,,,0.68,34.00,0.51,,,0.81,,,,-6.70,0.83,,,,-2.58,,,,,,1.16,34.00,0.51,,,1.44,34.00,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.69,,,0.74,,2.42,,,0.73,,0.69,,,1.50,,0.82,,,0.95,,0.84,,,1.62,,,,,,,1.17,,,0.83,,1.45,,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.70,,,,0.52,2.43,,,,0.51,0.69,,,,1.97,0.82,,,,14.08,0.84,35.00,0.53,,,,,,,,1.18,,,,0.71,1.45,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.70,35.00,0.53,,,2.43,35.00,0.53,,,0.69,35.00,0.53,,,0.82,35.00,0.53,,,0.84,,,,-4.92,,,,,,1.18,35.00,0.53,,,1.45,35.00,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.71,,,0.75,,2.44,,,0.74,,0.70,,,1.52,,0.83,,,1.16,,0.85,,,1.58,,,,,,,1.19,,,0.84,,1.46,,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.72,,,,0.65,2.45,,,,0.57,0.70,,,,2.39,0.84,36.00,0.54,,,0.85,,,,0.02,,,,,,1.20,,,,0.64,1.47,,,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.72,36.00,0.54,,,2.45,36.00,0.54,,,0.70,36.00,0.54,,,0.84,,,,-0.35,0.85,36.00,0.54,,,,,,,,1.20,36.00,0.54,,,1.47,36.00,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.73,,,0.76,,2.46,,,0.76,,0.71,,,1.54,,0.84,,,1.15,,0.86,,,1.58,,,,,,,1.20,,,0.85,,1.48,,,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.74,,,,0.49,2.47,,,,0.50,0.71,,,,1.95,0.85,37.00,0.55,,,0.86,37.00,0.55,,,,,,,,1.21,,,,0.60,1.48,,,,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.74,37.00,0.55,,,2.47,37.00,0.55,,,0.71,37.00,0.55,,,0.85,,,,-0.34,0.86,,,,-0.24,,,,,,1.21,37.00,0.55,,,1.48,37.00,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.75,,,0.77,,2.48,,,0.77,,0.72,,,1.56,,0.86,,,1.15,,0.87,,,1.57,,,,,,,1.22,,,0.86,,1.49,,,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.76,,,,0.52,2.49,,,,0.61,0.72,,,,1.91,0.86,38.00,0.57,,,0.87,,,,0.30,,,,,,1.23,,,,0.94,1.50,38.00,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.76,38.00,0.57,,,2.49,38.00,0.57,,,0.72,38.00,0.57,,,0.86,,,,-2.87,0.87,38.00,0.57,,,,,,,,1.23,38.00,0.57,,,1.50,,,,-3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.77,,,0.78,,2.50,,,0.78,,0.73,,,1.58,,0.87,,,1.11,,0.88,,,1.58,,,,,,,1.24,,,0.88,,1.51,,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.78,,,,0.45,2.51,,,,0.50,0.73,,,,2.20,0.88,39.00,0.58,,,0.88,39.00,0.58,,,,,,,,1.25,,,,0.68,1.51,39.00,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.78,39.00,0.58,,,2.51,39.00,0.58,,,0.73,39.00,0.58,,,0.88,,,,-21.29,0.88,,,,-0.21,,,,,,1.25,39.00,0.58,,,1.51,,,,-1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.79,,,0.79,,2.52,,,0.79,,0.74,,,1.60,,0.89,,,0.75,,0.89,,,1.57,,,,,,,1.26,,,0.89,,1.52,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.80,,,,0.50,2.53,,,,0.66,0.74,,,,2.67,0.90,40.00,0.60,,,0.89,,,,0.35,,,,,,1.26,40.00,0.60,,,1.53,40.00,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.80,40.00,0.60,,,2.53,40.00,0.60,,,0.74,40.00,0.60,,,0.90,,,,-11.89,0.89,40.00,0.60,,,,,,,,1.26,,,,-0.22,1.53,,,,-1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.81,,,0.80,,2.54,,,0.80,,0.75,,,1.63,,0.91,,,0.42,,0.90,,,1.58,,,,,,,1.27,,,0.89,,1.54,,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.82,,,,0.53,2.55,,,,0.49,0.75,,,,1.65,0.93,41.00,0.62,,,0.90,41.00,0.62,,,,,,,,1.28,41.00,0.62,,,1.55,41.00,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.82,41.00,0.62,,,2.55,41.00,0.62,,,0.75,41.00,0.62,,,0.94,,,,-2.58,0.90,,,,-0.28,,,,,,1.28,,,,-14.93,1.55,,,,-5.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.83,,,0.81,,2.56,,,0.81,,0.76,,,1.64,,0.96,,,0.32,,0.91,,,1.57,,,,,,,1.29,,,0.56,,1.55,,,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.83,,,,0.56,2.57,,,,0.51,0.76,,,,2.32,0.98,,,,1.55,0.91,42.00,0.63,,,,,,,,1.31,42.00,0.63,,,1.56,42.00,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.83,42.00,0.63,,,2.57,42.00,0.63,,,0.76,42.00,0.63,,,0.98,42.00,0.63,,,0.91,,,,-0.23,,,,,,1.31,,,,-4.76,1.56,,,,-3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.85,,,0.82,,2.58,,,0.82,,0.77,,,1.66,,1.00,,,0.38,,0.92,,,1.57,,,,,,,1.33,,,0.41,,1.57,,,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.85,,,,0.50,2.58,,,,0.47,0.77,,,,2.43,1.02,43.00,0.65,,,0.92,43.00,0.65,,,,,,,,1.34,43.00,0.65,,,1.58,43.00,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.85,43.00,0.65,,,2.58,43.00,0.65,,,0.77,43.00,0.65,,,1.02,,,,-0.26,0.92,,,,-0.29,,,,,,1.35,,,,-1.36,1.59,,,,-13.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.86,,,0.83,,2.59,,,0.83,,0.77,,,1.68,,1.04,,,0.37,,0.93,,,1.57,,,,,,,1.36,,,0.36,,1.61,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.87,,,,0.62,2.60,,,,0.48,0.78,,,,2.98,1.05,,,,9.48,0.93,44.00,0.66,,,,,,,,1.39,44.00,0.66,,,1.64,44.00,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.87,44.00,0.66,,,2.60,44.00,0.66,,,0.78,44.00,0.66,,,1.06,44.00,0.66,,,0.93,,,,-0.24,,,,,,1.39,,,,-2.52,1.64,,,,-1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.88,,,0.84,,2.61,,,0.84,,0.78,,,1.71,,1.07,,,0.67,,0.94,,,1.57,,,,,,,1.42,,,0.22,,1.67,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.89,,,,0.51,2.62,,,,0.52,0.79,,,,1.51,1.08,45.00,0.67,,,0.94,45.00,0.67,,,,,,,,1.45,,,,1.11,1.71,45.00,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.89,45.00,0.67,,,2.62,45.00,0.67,,,0.79,45.00,0.67,,,1.08,,,,-4.72,0.94,,,,-0.14,,,,,,1.45,45.00,0.67,,,1.74,,,,-1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.90,,,0.85,,2.63,,,0.84,,0.79,,,1.72,,1.09,,,0.55,,0.94,,,1.57,,,,,,,1.48,,,0.29,,1.80,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.91,,,,0.67,2.64,,,,0.56,0.80,46.00,0.69,,,1.11,46.00,0.69,,,0.95,,,,0.03,,,,,,1.51,46.00,0.69,,,1.89,46.00,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.91,46.00,0.69,,,2.64,46.00,0.69,,,0.80,,,,-9.92,,,,,,,1.11,,,,,0.95,46.00,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.92,,,0.86,,2.65,,,0.85,,0.80,,,1.63,,,,,,,,1.13,,,0.43,,0.95,,,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.92,,,,0.51,2.65,,,,0.52,0.80,,,,24.09,,,,,,,1.14,47.00,0.70,,,0.96,47.00,0.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.92,47.00,0.70,,,2.65,47.00,0.70,,,0.81,47.00,0.70,,,,,,,,,1.15,,,,,0.96,,,,,,,,,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.93,,,0.87,,2.66,,,0.86,,0.81,,,1.84,,,,,,,,1.16,,,0.36,,0.96,,,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.94,,,,0.48,2.67,,,,0.60,0.81,,,,2.52,,,,,,,1.19,48.00,0.72,,,0.97,,,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.94,48.00,0.72,,,2.67,48.00,0.72,,,0.81,48.00,0.72,,,,,,,,,1.19,,,,,0.97,48.00,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.95,,,0.88,,2.68,,,0.87,,0.82,,,1.86,,,,,,,,1.21,,,0.32,,0.97,,,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.96,49.00,0.74,,,2.69,,,,0.52,0.82,49.00,0.74,,,,,,,,,1.23,49.00,0.74,,,0.98,49.00,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.96,,,,-0.34,2.69,49.00,0.74,,,0.82,,,,-1.65,,,,,,,1.23,,,,,0.98,,,,,,,,,,-0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.97,,,0.87,,2.70,,,0.88,,0.82,,,1.85,,,,,,,,1.26,,,0.29,,0.98,,,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.98,50.00,0.75,,,2.71,50.00,0.75,,,0.83,50.00,0.75,,,,,,,,,1.28,50.00,0.75,,,0.99,,,,,,,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.98,,,,-1.92,2.71,,,,-1.22,0.83,,,,-0.84,,,,,,,1.28,,,,,0.99,50.00,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.98,,,0.84,,2.72,,,0.86,,0.83,,,1.84,,,,,,,,1.31,,,0.29,,0.99,,,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.99,51.00,0.77,,,2.72,51.00,0.77,,,0.84,51.00,0.77,,,,,,,,,1.34,51.00,0.77,,,1.00,51.00,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.00,,,,-16.02,2.72,,,,-0.54,0.84,,,,-23.14,,,,,,,1.37,,,,,1.00,,,,,,,,,,-0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.02,,,0.36,,2.73,,,0.85,,0.84,,,1.64,,,,,,,,1.44,,,0.07,,1.00,,,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.04,52.00,0.78,,,2.74,52.00,0.78,,,0.85,52.00,0.78,,,,,,,,,1.50,,,,,1.01,52.00,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.12,,,,-1.48,2.76,,,,-13.57,0.85,,,,-9.59,,,,,,,1.54,52.00,0.78,,,1.01,,,,,,,,,,-0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.23,,,0.04,,2.78,,,0.19,,0.85,,,1.55,,,,,,,,1.57,,,0.27,,1.01,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.43,53.00,0.79,,,2.82,53.00,0.79,,,0.86,53.00,0.79,,,,,,,,,1.59,,,,,1.02,53.00,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.89,,,,-0.68,0.86,,,,-3.01,,,,,,,1.60,53.00,0.79,,,1.02,,,,,,,,,,-0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.99,,,0.04,,0.86,,,1.52,,,,,,,,1.62,,,0.35,,1.02,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3.16,54.00,0.81,,,0.87,54.00,0.81,,,,,,,,,1.64,54.00,0.81,,,1.03,54.00,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.87,,,,-8.96,,,,,,,1.69,,,,,1.03,,,,,,,,,,-0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.87,,,1.43,,,,,,,,1.76,,,0.06,,1.03,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.88,55.00,0.82,,,,,,,,,1.88,55.00,0.82,,,1.03,55.00,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.88,,,,-3.92,,,,,,,1.92,,,,,1.03,,,,,,,,,,-0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.88,,,1.39,,,,,,,,2.09,,,0.04,,1.04,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.89,56.00,0.84,,,,,,,,,2.23,,,,,1.04,56.00,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.89,,,,-5.53,,,,,,,2.29,56.00,0.84,,,1.04,,,,,,,,,,-1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.89,,,1.33,,,,,,,,2.36,,,0.11,,1.05,,,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.90,57.00,0.85,,,,,,,,,2.43,57.00,0.85,,,1.05,57.00,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.90,,,,-5.67,,,,,,,,,,,,1.05,,,,,,,,,,-0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.90,,,1.27,,,,,,,,,,,,,1.06,,,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.91,58.00,0.87,,,,,,,,,,,,,,1.06,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.91,,,,-4.09,,,,,,,,,,,,1.06,58.00,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.92,,,1.22,,,,,,,,,,,,,1.07,,,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.92,59.00,0.89,,,,,,,,,,,,,,1.07,59.00,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.92,,,,-3.64,,,,,,,,,,,,1.07,,,,,,,,,,-0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
